분야,헤드라인,신문사,뉴스url,본문요약,keyword,총 댓글수,긍정적 댓글비율(%)
정치,"文대통령 당선 일등공신 '광흥창팀', 시련의 겨울",조선일보,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=023&aid=0003490480&date=20191201&type=1&rankingSectionId=100&rankingSeq=1,"[""광흥창 팀 주요 멤버들. 상단 왼쪽부터 시계방향으로 임종 석 전 청와대 비서실장, 양정 철 민주 연구원장, 윤 건영 청와대 국정상황실장. 탁 현 민 대통령 행사기획 자문위원, 한 병도 전 청와대 정무수석, 송인 배 전 제 1 부 속비서관. 광흥창 팀 주요 멤버들. 상단 왼쪽부터 시계방향으로 임종 석 전 청와대 비서실장, 양정 철 민주 연구원장, 윤 건영 청와대 국정상황실장. 탁 현 민 대통령 행사기획 자문위원, 한 병도 전 청와대 정무수석, 송인 배 전 제 1 부 속비서관. 광흥창 팀 멤버 현황 광흥창 팀 멤버 현황 문 재인 정권 창출의 일등 공신( 功臣) 그룹인 ' 마포 광흥창 팀' 출신 인사들이 문 대통령 임기 반환점을 돌면서 시련을 맞고 있다."", '정권 출범과 함께 청와대와 완전히 거리를 둔 이는 양 정철 전 청와대 홍보기획비서관( 현 민주당 민주 연구원장) 한명뿐이었다.', '지난 1월 임종 석 전 실장이 청와대를 떠난 전후 5명( 한 병도· 송인 배· 조한 기· 김종 천· 탁 현 민) 도 함께 청와대를 나섰다.']",['실장'],2071,22.549492998551422
정치,"“탈북민 10여명 베트남 당국에 체포, 中 추방…韓대사관 도움 안줘”",서울신문,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=081&aid=0003047682&date=20191201&type=1&rankingSectionId=100&rankingSeq=2,"['2012.03.04 연합 뉴스 탈북 민 10여명 베트남서 체포 - 한국으로 오려 던 것으로 보이는 탈북 민 10 여 명이 29일 베트남 당국에 체포된 것으로 알려 졌다.', '30일 정부 당국에 따르면 이들은 전날 오전 베트남 중 북부의 라오스 접경 지역에서 국경경비를 책임지는 현지 당국에 적발된 것으로 전해 졌다.', '연합 뉴스 탈북 민 10여명 베트남서 체포 - 한국으로 오려 던 것으로 보이는 탈북 민 10 여 명이 29일 베트남 당국에 체포된 것으로 알려 졌다.']",['중국'],2072,24.276061776061773
정치,"“韓 대사관, 기다리라더니…” 탈북민 10명 베트남서 체포돼 추방",국민일보,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=005&aid=0001264182&date=20191201&type=1&rankingSectionId=100&rankingSeq=3,"['뉴 시스 한국으로 오려 던 탈북 민 10명이 베트남 당국에 체포돼 중국으로 추방된 것으로 전해 졌다.', '정 대표는 베트남 주재 한국 대사관에 도움을 요청했지만 아무런 조치를 취하지 않았다고 주장했다.', '정부 당국과 VOA 등에 따르면 탈북 민 10명은 지난달 28일 오전 베트남 중 북부의 라오스 접경 지역에서 국경경비를 책임지는 현지 당국에 체포돼 조사를 받다 중국으로 추방된 것으로 전해 졌다.']",['탈북'],2185,23.020594965675055
정치,여야 ‘민식이법 눈물’에 화들짝…  한국당 원인 제공 목소리,국민일보,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=005&aid=0001264322&date=20191201&type=1&rankingSectionId=100&rankingSeq=4,"['김지 훈 기자 이인영 더불어 민주당 원내 대표가 1일 국회 기자 간담회에서 “ 자유 한국당이 민생을 볼모로 국회를 완전 봉쇄했다 ”며 비난하고 있다( 왼쪽 사진). 나 경원 한국 당 원내 대표는 맞불 간담회에서 “ 민주당이 필 리 버스터를 원천 봉쇄하려고 아예 국회 자체를 봉쇄했다” 고 주장했다( 가운데 사진). 오신 환 바른 미래 당 원내 대표는 민주당과 한국 당의 중재자 역할을 자임했지만 이날 바른 미래 당 윤리 위원회가 해당 행위를 이유로 그에 대한 당원권 1년 정지 징계 결정을 내려 원내 대표 직을 수행할 수 없다는 논란에 휩싸였다.', '이인 영 더불어 민주당 원내 대표는 오전 국회 기자 간담회에서 “ 민 식이 법이 왜 필리 버스터 대상이 되는지 이해할 수 없다 ”며 “ 한국당이 민 식이 법을 먼저 처리 하자고 했다는 데 명백한 거짓말” 이라고 한국당을 몰아세웠다.', '나 원내 대표는 “ 국회 본회의에서 민 식이 법을 통과시키지 못하게 한 것은 여당” 이라며 “ 민 식이 법과 민생 법안은 안중에도 없는 여당” 이라고 주장했다.']",['한국'],2454,20.945395273023635
정치,"샘 해밍턴의 금강산 방문…빗장 연 北, 의도는",SBS,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=055&aid=0000775683&date=20191201&type=2&rankingSectionId=100&rankingSeq=5,"['동영상 뉴스 [ https: //news .sbs .co .kr /n/ ?id =N1005544997 ] 김 정은 위원장이 금강산에 지어 놓은 남쪽 시설들 철거 하라고 지시하기 직전에 샘 해 밍 턴 씨를 포함해서 우리나라에서 활동하는 외국인 방송인들이 금강산에 다녀왔습니다.', '와! 이런 깨끗한 물은 거의 본 적이 없는 것 같아.] 옥류 동 계곡과 구룡폭포까지 둘러본 뒤의 소감입니다.', '[ 샘 해 밍 턴 : 남쪽에서 금강산. 금강산 노래 부르는 이유가 뭔지 알 것 같아요.]']",['금강산'],1198,21.368948247078464
정치,단식 끝내고 돌아온 황교안…'진짜 시험대' 올랐다,한국경제,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=015&aid=0004250438&date=20191201&type=1&rankingSectionId=100&rankingSeq=6,"['8일 간의 단식투쟁을 마치고 입원 중인 황 교 안 자유 한국 당 대표( 사진) 가 이번 주부터 당무 일선에 복귀한다.1', '황 대표는 이번 단식을 통해 당내 불거졌던 ‘ 리더십 논란’ 을 불식시키는 데 성공했다는 게 당 안팎의 평가다.', '한 한국 당 의원은 “ 이전까지 당내에선 총선을 황 대표 체제로 치를 수 있겠느냐']",['대표'],1200,29.916666666666668
정치,"10cm 물체도 구별하는 美U-2S, 어제 15㎞ 상공서 北 훑었다",중앙일보,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=025&aid=0002957005&date=20191201&type=1&rankingSectionId=100&rankingSeq=7,"['U-2S 드래곤 레이디 [ 사진 미 공군] U-2S 드래곤 레이디 [ 사진 미 공군] 북한이 초대형 방사 포를 시험 발사한 지 이틀 만에 미국이 전략 정찰기 U-2S를 한반도에 띄웠다.', '최근 나흘 동안 종류를 달리하는 4가지 미 핵심 정찰기를 한반도 상공에 잇따라 출격시키면서 북한을 감시하고 경고 메시지도 전하는 것으로 풀이 된다.1', ""또 방사 포 시험 발사 이후 U-2S가 등장했다는 점에서 미국이 북한의 또 다른 군사적 ' 특이 동향' 을 감지했을 가능성도 제기된다.""]",['정찰기'],469,35.60767590618337
정치,"황교안 이어 단식中 신보라 ""필리버스터서 민식이법 당연히...""",이데일리,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=018&aid=0004528425&date=20191201&type=1&rankingSectionId=100&rankingSeq=8,"['자유 한국당 정미 경( 왼쪽)· 신보라 최고위원이 지난달 29일 오전 청와대 앞 황 교 안 대표 단식 농성장에서 동조 단식을 하고 있다 ( 사진= 연합 뉴스) [ 이 데일리 박 지혜 기자] 자유 한국 당의 황 교 안 대표에 이어 공수 처 법과 연동형 비례제 선거법 철회를 요구하며 단식에 들어간 신보라 최고위원은 “ 필리 버스터에서 민 식이 법, 청년 기본법 등은 당연히 예외 ”라고 밝혔다.', '국회의장께서 이 법안들을 가장 먼저 1번 안건으로 우선 상정해 달라. 우선 상정해서 곧바로 처리하면 된다.', '불법 패스트 트랙을 철회하고, 터져 나오는 친문( 친문 재인) 게이트 국정조사를 수용하면 된다” 고 강조했다.']",['버스터'],1115,20.986547085201792
정치,"[속보] 나경원 “민식이법, 필리버스터 신청한 적 없어”",세계일보,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=022&aid=0003418508&date=20191201&type=1&rankingSectionId=100&rankingSeq=9,"['뉴스 1 자유 한국 당의 나 경원 원내 대표가 “ 민 식이 법을 필리 버스터에 신청한 적이 없다” 고 1일 반박했다.', '나 원내 대표는 이날 오후 2시 30분 쯤 자유 한국 당 원내 대표 회의실에서 기자회견을 열고 “ 민 식이 법을 필리 버스터에 신청한 적 없다” 라며 “ 더 불어 민주당 이인영 원내 대표의 주장은 거짓이며 적반하장” 이라고 해명했다.', '앞서 더불어 민주당 이인영 원내 대표는 이날 오전 11시 기자회견을 열고 “ 민 식이 법이 왜 필리 버스터 대상인지 이해 못한다” 라며 한국당이 민 식이 법을 포함한 198개 법안에 대해 필리 버스터를 신청한 것을 두고 비판했다.']",['한국'],3085,22.755267423014587
정치,"""살인자들"" ""말 함부로 하지마"" 이재정·나경원 과거사법 충돌",중앙일보,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=025&aid=0002956915&date=20191201&type=2&rankingSectionId=100&rankingSeq=10,"[""11월 29일 서울 여의도 국회 로 텐 더 홀 주변에서 과거 사법 처리를 촉구하며 피켓시위를 하던 이재 정 더불어 민주당 의원이 나 경원 자유 한국 당 원내 대표와 정 양석 원내수석 부대표 등이 지나가자 '20 대 국회 이대로 살인자가 되겠습니까"", ""[ 뉴스 1] 11월 29일 서울 여의도 국회 로 텐 더 홀 주변에서 과거 사법 처리를 촉구하며 피켓시위를 하던 이재 정 더불어 민주당 의원이 나 경원 자유 한국 당 원내 대표와 정 양석 원내수석 부대표 등이 지나가자 '20 대 국회 이대로 살인자가 되겠습니까"", '이때 국회 로 텐 더 홀에서 과거 사법 처리를 촉구하며 피켓시위를 하던 이 의원이 나 원내 대표를 향해 “20 대 국회 이대로 살인자가 되겠습니까']",['과거'],1586,22.194199243379572
